한글발음,한자,획수,자원오행,뜻,발음오행
가,加,5,水,"더할, 있을",木
가,佳,8,火,"아름다울, 좋을",木
가,架,9,木,"시렁, 세울",木
가,可,5,水,"옳을, 좋을",木
가,哿,10,水,"좋을,훌륭하다",木
가,家,10,木,"집,건물",木
가,嘉,14,水,"아름답다,훌륭하다",木
가,街,12,火,"거리,대로,시가지",木
가,暇,13,火,겨르다.틈,木
가,賈,13,金,"값,장사,상인",木
가,稼,15,木,"농사, 심을",木
가,珂,10,金,옥이름,木
가,茄,11,木,"연줄기,연(蓮)",木
가,哥,10,水,"노래, 노랫소리",木
가,跏,12,土,책상다리할,木
가,袈,11,木,"가사, 승려의 옷",木
가,軻,12,火,굴대,木
가,枷,9,木,도리깨,木
가,歌,14,金,"노래, 읊을",木
가,價,15,火,"姓,값,가치",木
가,嘏,14,水,클,木
가,舸,11,木,큰 배,木
가,泇,9,水,물이름,木
가,珈,10,金,머리꾸미개,木
가,柯,9,木,"가지, 자루",木
가,檟,17,木,개오동나무,木
가,榎,14,木,개오동나무,木
가,笳,11,木,갈잎피리,木
가,假,11,火,"거짓, 임시",木
가,嫁,13,土,"시집갈, 떠넘길",木
가,駕,15,火,"멍에, 수레",木
가,迦,12,土,"부처이름, 막을",木
가,伽,7,火,절,木
가,呵,8,水,"꾸짖을, 웃을",木
가,痂,10,水,"헌데딱지, 옴",木
가,苛,11,木,"매울, 사나울",木
가,訶,12,金,"꾸짖을, 야단할",木
가,坷,8,土,평탄하지 않을,木
가,斝,12,火,술잔,木
가,耞,11,木,도리깨,木
가,葭,15,木,갈대,木
가,謌,17,金,노래,木
각,各,6,水,"각각, 시각",木
각,角,7,木,"뿔, 견줄",木
각,閣,14,木,"문설주, 세울",木
각,覺,20,火,"깨달음, 터득할",木
각,刻,8,金,"새길,벗길",木
각,珏,10,金,쌍옥,木
각,恪,10,火,"삼갈,정성,공경",木
각,慤,16,火,성실할,木
각,擱,18,木,놓을,木
각,桷,11,木,서까래,木
각,殼,12,金,"껍질, 씨",木
각,脚,13,水,"다리, 정강이",木
각,却,7,木,"물리칠,그칠",木
각,卻,9,木,물리칠,木
각,咯,9,水,"울, 트림",木
각,埆,10,土,매마를,木
각,搉,14,木,두드릴,木
간,間,12,木,"사이, 가까울",木
간,看,9,木,"볼, 지킬",木
간,刊,5,金,"책펴낼, 깎을",木
간,幹,13,木,"줄기, 몸",木
간,磵,17,金,산골물,木
간,稈,12,木,"집, 볏짚",木
간,偘,11,火,굳셀,木
간,茛,12,木,"미나리아재비,독초",木
간,衎,9,火,즐길 ,木
간,赶,10,火,쫓을,木
간,齦,21,金,깨물,木
간,忓,7,火,방해할,木
간,姦,9,土,"간사할, 거짓",木
간,奸,6,土,"범할, 간통할",木
간,艱,17,土,"어려울, 괴로워할",木
간,癎,17,水,"간기(간질), 경풍",木
간,干,3,木,"姓,방패, 방어할",木
간,肝,9,水,"간, 충정",木
간,簡,18,木,"글, 편지",木
간,侃,8,火,"강직할, 화락할",木
간,杆,7,木,"지레, 나무이름",木
간,竿,9,木,"장대, 죽순",木
간,揀,13,木,"가려냉, 구별할",木
간,諫,16,金,"고칠, 충고할",木
간,玕,8,金,"옥돌, 아름다운 돌",木
간,慳,15,火,아낄,木
간,榦,14,木,줄기,木
간,秆,8,木,볏짚,木
간,迀,10,土,구할,木
간,矸,8,金,산돌,木
간,栞,10,木,"깎을, 도표",木
간,澗,16,水,"산골물,계곡물",木
간,懇,17,火,"정성, 간절할",木
간,艮,6,土,"괘이름, 그칠",木
간,墾,16,土,"개간할, 다스릴",木
간,柬,9,木,"가릴, 분간",木
간,桿,11,木,볏짚,木
갈,鞨,18,金,"가죽신, 두건",木
갈,葛,15,木,"姓,칡,넝쿨",木
갈,乫,6,木,땅이름,木
갈,碣,14,金,"비, 돌을 세울",木
갈,竭,14,金,"다할, 물마를",木
갈,褐,15,木,"털옷, 베옷",木
갈,蝎,15,木,"나무좀,나무굼벵이",木
갈,喝,16,水,맹세할,木
갈,楬,13,木,푯말,木
갈,秸,11,木,짚,木
갈,羯,15,土,불깐 양,木
갈,蠍,19,水,전갈,木
갈,渴,13,水,"목마를, 급할",木
갈,曷,9,火,"어찌, 언제",木
갈,喝,12,水,더위 먹을,木
감,邯,12,土,"땅이름, 강이름",木
감,淦,12,水,물 이름,木
감,澉,16,水,싱거울,木
감,酣,12,金,흥겨울,木
감,鹻,21,水,소금기,木
감,龕,22,土,감실,木
감,弇,9,木,사람이름,木
감,憨,16,火,어리석을,木
감,撼,17,木,흔들,木
감,歛,17,火,"줄,바라다,원하다",木
감,泔,9,水,뜨물,木
감,矙,25,木,엿볼,木
감,轗,20,火,가기 힘들,木
감,憾,17,火,"한할, 서운해 할",木
감,歁,13,金,"칠, 평정할",木
감,坎,7,土,"구덩이, 험할",木
감,疳,10,水,"감질, 감병",木
감,坩,8,土,도가니,木
감,埳,11,土,구덩이,木
감,嵁,12,土,울퉁불퉁할,木
감,欿,12,火,서운할,木
감,感,13,火,"느끼, 감동할",木
감,敢,12,金,"굳셀, 용감할",木
감,鑑,22,金,"姓,거울,성찰할",木
감,鑒,22,金,"거울, 성찰할",木
감,甘,5,土,"姓,달,상쾌할",木
감,玪,9,金,옥 이름,木
감,減,13,水,"덜, 줄일",木
감,監,14,金,"볼, 보살필",木
