KoreanPronunciation,Hanja,Strokes,Meaning,Element,SoundElement
가,加,5,"더할, 있을",水,木
가,佳,8,"아름다울, 좋을",火,木
가,架,9,"시렁, 세울",木,木
가,可,5,"옳을, 좋을",水,木
가,哿,10,"좋을,훌륭하다",水,木
가,家,10,"집,건물",木,木
가,嘉,14,"아름답다,훌륭하다",水,木
가,街,12,"거리,대로,시가지",火,木
가,暇,13,겨르다.틈,火,木
가,賈,13,"값,장사,상인",金,木
가,稼,15,"농사, 심을",木,木
가,珂,10,옥이름,金,木
가,茄,11,"연줄기,연(蓮)",木,木
가,哥,10,"노래, 노랫소리",水,木
가,跏,12,책상다리할,土,木
가,袈,11,"가사, 승려의 옷",木,木
가,軻,12,굴대,火,木
가,枷,9,도리깨,木,木
가,歌,14,"노래, 읊을",金,木
가,價,15,"姓,값,가치",火,木
가,嘏,14,클,水,木
가,舸,11,큰 배,木,木
가,泇,9,물이름,水,木
가,珈,10,머리꾸미개,金,木
가,柯,9,"가지, 자루",木,木
가,檟,17,개오동나무,木,木
가,榎,14,개오동나무,木,木
가,笳,11,갈잎피리,木,木
가,假,11,"거짓, 임시",火,木
가,嫁,13,"시집갈, 떠넘길",土,木
가,駕,15,"멍에, 수레",火,木
가,迦,12,"부처이름, 막을",土,木
가,伽,7,절,火,木
가,呵,8,"꾸짖을, 웃을",水,木
가,痂,10,"헌데딱지, 옴",水,木
가,苛,11,"매울, 사나울",木,木
가,訶,12,"꾸짖을, 야단할",金,木
가,坷,8,평탄하지 않을,土,木
가,斝,12,술잔,火,木
가,耞,11,도리깨,木,木
가,葭,15,갈대,木,木
가,謌,17,노래,金,木
각,各,6,"각각, 시각",水,木
각,角,7,"뿔, 견줄",木,木
각,閣,14,"문설주, 세울",木,木
각,覺,20,"깨달음, 터득할",火,木
각,刻,8,"새길,벗길",金,木
각,珏,10,쌍옥,金,木
각,恪,10,"삼갈,정성,공경",火,木
각,慤,16,성실할,火,木
각,擱,18,놓을,木,木
각,桷,11,서까래,木,木
각,殼,12,"껍질, 씨",金,木
각,脚,13,"다리, 정강이",水,木
각,却,7,"물리칠,그칠",木,木
각,卻,9,물리칠,木,木
각,咯,9,"울, 트림",水,木
각,埆,10,매마를,土,木
각,搉,14,두드릴,木,木
간,間,12,"사이, 가까울",木,木
간,看,9,"볼, 지킬",木,木
간,刊,5,"책펴낼, 깎을",金,木
간,幹,13,"줄기, 몸",木,木
간,磵,17,산골물,金,木
간,稈,12,"집, 볏짚",木,木
간,偘,11,굳셀,火,木
간,茛,12,"미나리아재비,독초",木,木
간,衎,9,즐길 ,火,木
간,赶,10,쫓을,火,木
간,齦,21,깨물,金,木
간,忓,7,방해할,火,木
간,姦,9,"간사할, 거짓",土,木
간,奸,6,"범할, 간통할",土,木
간,艱,17,"어려울, 괴로워할",土,木
간,癎,17,"간기(간질), 경풍",水,木
간,干,3,"姓,방패, 방어할",木,木
간,肝,9,"간, 충정",水,木
간,簡,18,"글, 편지",木,木
간,侃,8,"강직할, 화락할",火,木
간,杆,7,"지레, 나무이름",木,木
간,竿,9,"장대, 죽순",木,木
간,揀,13,"가려냉, 구별할",木,木
간,諫,16,"고칠, 충고할",金,木
간,玕,8,"옥돌, 아름다운 돌",金,木
간,慳,15,아낄,火,木
간,榦,14,줄기,木,木
간,秆,8,볏짚,木,木
간,迀,10,구할,土,木
간,矸,8,산돌,金,木
간,栞,10,"깎을, 도표",木,木
간,澗,16,"산골물,계곡물",水,木
간,懇,17,"정성, 간절할",火,木
간,艮,6,"괘이름, 그칠",土,木
간,墾,16,"개간할, 다스릴",土,木
간,柬,9,"가릴, 분간",木,木
간,桿,11,볏짚,木,木
갈,鞨,18,"가죽신, 두건",金,木
갈,葛,15,"姓,칡,넝쿨",木,木
갈,乫,6,땅이름,木,木
갈,碣,14,"비, 돌을 세울",金,木
갈,竭,14,"다할, 물마를",金,木
갈,褐,15,"털옷, 베옷",木,木
갈,蝎,15,"나무좀,나무굼벵이",木,木
갈,喝,16,맹세할,水,木
갈,楬,13,푯말,木,木
갈,秸,11,짚,木,木
갈,羯,15,불깐 양,土,木
갈,蠍,19,전갈,水,木
갈,渴,13,"목마를, 급할",水,木
갈,曷,9,"어찌, 언제",火,木
갈,喝,12,더위 먹을,水,木
감,邯,12,"땅이름, 강이름",土,木
감,淦,12,물 이름,水,木
감,澉,16,싱거울,水,木
감,酣,12,흥겨울,金,木
감,鹻,21,소금기,水,木
감,龕,22,감실,土,木
감,弇,9,사람이름,木,木
감,憨,16,어리석을,火,木
감,撼,17,흔들,木,木
감,歛,17,"줄,바라다,원하다",火,木
감,泔,9,뜨물,水,木
감,矙,25,엿볼,木,木
감,轗,20,가기 힘들,火,木
감,憾,17,"한할, 서운해 할",火,木
감,歁,13,"칠, 평정할",金,木
감,坎,7,"구덩이, 험할",土,木
감,疳,10,"감질, 감병",水,木
감,坩,8,도가니,土,木
감,埳,11,구덩이,土,木
감,嵁,12,울퉁불퉁할,土,木
감,欿,12,서운할,火,木
감,感,13,"느끼, 감동할",火,木
감,敢,12,"굳셀, 용감할",金,木
감,鑑,22,"姓,거울,성찰할",金,木
감,鑒,22,"거울, 성찰할",金,木
감,甘,5,"姓,달,상쾌할",土,木
감,玪,9,옥 이름,金,木
감,減,13,"덜, 줄일",水,木
감,監,14,"볼, 보살필",金,木
감,勘,11,"헤아릴, 조사할",土,木
감,堪,12,"견딜, 뛰어날",土,木
감,瞰,17,"내려다볼, 멀리볼",木,木
감,嵌,12,산이 깊을,土,木
감,柑,9,"감자나무, 재갈",木,木
감,橄,16,감람나무,木,木
감,紺,11,"감색, 밤물",木,木
갑,甲,5,"첫째 천간, 껍질",木,木
갑,鉀,13,갑옷,金,木
갑,岬,8,"산허리,산골짜기",土,木
갑,閘,13,"물문,수문",木,木
갑,匣,7,작은상자,木,木
갑,胛,11,"어깨, 어깻죽지",水,木
강,玒,8,옥 이름,金,木
강,鏹,20,"돈, 돈꿰미",金,木
강,堈,11,"언덕, 항아리",土,木
강,橿,17,"나무이름, 굳센 모양",木,木
강,彊,16,"굳셀, 힘셀 활",金,木
강,糠,17,"겨, 쌀겨",木,木
강,絳,12,진홍색,木,木
강,羌,8,"종족이름, 굳셀",土,木
강,悾,12,정성,火,木
강,岡,8,"산등성이, 언덕",土,木
강,崗,11,산등성이,土,木
강,降,14,"내릴,(항)항복할",土,木
강,畺,13,지경,土,木
강,疆,19,"지경, 끝",土,木
강,傋,12,어리석을,火,木
강,壃,16,지경,土,木
강,忼,8,강개할,火,木
강,扛,7,마주 들,木,木
강,殭,17,굳어질,水,木
강,矼,8,징검다리,金,木
강,江,7,"姓,강,큰내",水,木
강,講,17,"강론할, 익힐",金,木
강,强,12,굳셀,金,木
강,強,11,"姓,굳셀,강할",金,木
강,康,11,"평안할, 즐거울",木,木
강,姜,9,"姓,굳셀",土,木
강,剛,10,"姓,굳셀,강철",金,木
강,鋼,16,"강철, 강쇠",金,木
강,嫝,14,편안할,土,木
강,鎠,18,강철,金,木
강,跭,13,"세울, 머뭇거릴",土,木
강,綱,14,"벼리, 법",木,木
강,杠,7,"깃대, 다리",木,木
강,茳,11,천궁모종,木,木
강,顜,19,밝을,火,木
강,穅,16,겨,木,木
강,繈,17,포대기,木,木
강,罡,11,북두성,木,木
강,羫,14,양 갈빗대,土,木
강,豇,10,광저기,木,木
강,韁,22,고삐,金,木
강,舡,9,배,木,木
강,薑,19,생강,木,木
강,襁,18,포대기,木,木
강,鱇,22,아귀,水,木
강,慷,15,"강개할, 슬퍼할",火,木
강,腔,14,속이 빌,水,木
강,僵,15,넘어질,火,木
개,凱,12,"즐길, 함성",木,木
개,愷,14,"즐거울, 편안할",火,木
개,剴,12,알맞을,金,木
개,匃,5,빌,金,木
개,揩,13,닦을,木,木
개,槩,15,평미레,木,木
개,漑,15,"물댈, 씻을",水,木
개,塏,13,높고 건조할,土,木
개,鎧,18,"갑옷, 무장할",金,木
개,慨,15,"분개할, 슬퍼할",火,木
개,蓋,16,"덮을, 대개",木,木
개,盖,11,덮을,水,木
개,愾,14,"성낼, 가득할",火,木
개,疥,9,"옴, 학질",水,木
개,芥,10,"티끌, 먼지",木,木
개,槪,15,"대개, 대강",木,木
개,磕,15,돌 부딪치는 소리,金,木
개,闓,18,열,木,木
개,豈,10,"어찌, 개가",水,木
개,改,7,고치다. 바꿀,金,木
개,皆,9,"다, 함께",火,木
개,個,10,"낱, 단위",火,木
개,箇,14,"낱, 단위",木,木
개,開,12,"열, 개척할",木,木
개,价,6,"착할, 클",火,木
개,介,4,"姓,끼일,갑옷",火,木
개,玠,9,큰 홀,金,木
객,客,9,"손님, 나그네",木,木
객,喀,12,토할,水,木
갱,粳,13,메벼,木,木
갱,羹,19,"국, 땅이름",土,木
갱,硜,12,돌소리,金,木
갱,賡,15,이을,金,木
갱,鏗,19,금옥 소리,金,木
갱,更,7,"다시, 고칠",火,木
갱,坑,7,"구덩이, 빠질",土,木
갹,醵,20,"술잔치, 추렴할",金,木
거,㫢,9,거,火,木
거,秬,10,검은 기장,木,木
거,筥,13,둥구미,木,木
거,籧,23,대자리,木,木
거,胠,11,겨드랑이,水,木
거,苣,11,상추,木,木
거,莒,13,감자,木,木
거,蕖,18,연꽃,木,木
거,蘧,23,패랭이꽃,木,木
거,袪,11,소매,木,木
거,裾,14,자락,木,木
거,距,12,"떨어질, 클",土,木
거,遽,20,"급할, 두려울",土,木
거,踞,15,"웅크릴, 걸터앉을",土,木
거,去,5,"갈, 버릴",水,木
거,祛,10,"쫓을, 보낼",木,木
거,倨,10,"거만할, 멍할",火,木
거,腒,14,날짐승 포,水,木
거,車,7,"수레, 수레바퀴",火,木
거,擧,18,"들, 오를",木,木
거,巨,5,"클, 많을",火,木
거,鉅,13,"강할, 클",金,木
거,炬,9,"횃불, 태울",火,木
거,居,8,"살, 있을",木,木
거,拒,9,막을 방어할,木,木
거,據,17,"의지할, 증거",木,木
거,渠,13,"개천, 클",水,木
거,据,12,"일할, 의거할",木,木
거,鋸,16,"톱, 톱질할",金,木
거,駏,15,버새,火,木
거,呿,8,벌릴,水,木
건,虔,10,"정성, 공경할",木,木
건,健,11,"건강할, 튼튼할",火,木
건,建,9,"세울, 일으킬",木,木
건,䢖,13,세울,土,木
건,乾,11,"姓,하늘, 마를",金,木
건,漧,15,"하늘, 마를",水,木
건,件,6,"사건,구별할",火,木
건,巾,3,"수건, 덮을",木,木
건,楗,13,"문빗장, 방죽",木,木
건,鍵,17,"열쇠, 빗장",金,木
건,搴,14,"빼낼, 올릴",木,木
건,湕,13,물 이름,水,木
건,踺,16,밟을,土,木
건,愆,12,"허물, 과실",火,木
건,腱,15,힘줄,水,木
건,騫,20,"이지러질, 손상할",火,木
건,蹇,17,"절, 멈출",土,木
건,揵,13,멜,木,木
건,犍,13,"불친소,거세한소",土,木
건,睷,14,눈으로 셀,木,木
건,褰,16,걷어올릴,木,木
건,謇,17,떠듬거릴,金,木
건,鞬,18,동개,金,木
걸,杰,8,"뛰어날, 클",火,木
걸,桀,10,"홰, 뛰어날",木,木
걸,乞,3,"빌, 구할",木,木
걸,乬,6,걸,木,木
걸,朅,14,갈,火,木
걸,榤,14,홰,木,木
걸,傑,12,"뛰어날, 클",火,木
검,儉,15,"검소할, 적을",火,木
검,檢,17,"검사할, 교정할",木,木
검,劍,15,"칼, 찌를",金,木
검,劒,16,"칼, 찌를",金,木
검,瞼,18,눈꺼풀,木,木
검,鈐,12,비녀장,金,木
검,黔,16,"검을,그을릴",水,木
검,撿,17,검사할,木,木
검,芡,10,가시연,木,木
겁,怯,9,"겁낼, 무서워할",火,木
겁,迲,14,갈,土,木
겁,劫,7,"위협할, 빼앗을",水,木
겁,刦,7,겁탈할,金,木
겁,刧,7,겁탈할,金,木
게,憩,16,"쉴, 휴식할",火,木
게,揭,13,"높이들, 올릴",木,木
게,偈,11,"쉴, 굳센모양",火,木
격,格,10,"격식, 바로잡을",木,木
격,闃,17,고요할,木,木
격,激,17,"과격할, 흐를",水,木
격,隔,18,"막을, 멀",土,木
격,檄,17,"격문, 편지",木,木
격,膈,16,"흉격, 종틀",水,木
격,覡,14,"박수, 남자무당",火,木
격,挌,10,칠,木,木
격,毄,14,부딪칠,金,木
격,骼,16,뼈,金,木
격,鬲,10,막을,土,木
격,鴃,15,때까치,火,木
격,擊,17,"부딪칠, 방해될",木,木
견,牽,11,"당길, 거느릴",土,木
견,鵑,18,"두견새, 접동새",火,木
견,畎,9,밭도랑,土,木
견,筧,13,대 홈통,木,木
견,縳,17, 명주,木,木
견,繾,20,곡진할,木,木
견,羂,19,올무,木,木
견,鰹,22,가물치,水,木
견,犬,4,개,土,木
견,譴,21,"꾸짖을, 허물",金,木
견,肩,10,"어깨, 견딜",水,木
견,狷,12,성급할,土,木
