한글발음,한자,획수,발음오행,,
내,乃,2,火,,
복,卜,2,水,,
예,乂,2,土,,
우,又,2,土,,
입,入,2,土,,
정,丁,2,金,,
간,干,3,木,,
궁,弓,3,木,,
대,大,3,火,,
범,凡,3,水,,
산,山,3,金,,
야,也,3,土,,
우,于,3,土,,
천,千,3,金,,
개,介,4,木,,
공,孔,4,木,,
공,公,4,木,,
구,仇,4,木,,
금,今,4,木,,
모,毛,4,水,,
목,木,4,水,,
문,文,4,水,,
방,方,4,水,,
변,卞,4,水,,
부,夫,4,水,,
오,午,4,土,,
왕,王,4,土,,
우,牛,4,土,,
윤,尹,4,土,,
윤,允,4,土,,
원,元,4,土,,
인 ,仁 ,4,土,,
재,才,4,金,,
천,天,4,金,,
태,太,4,火,,
파,巴,4,水,,
편,片,4,水,,
감,甘,5,木,,
구,丘,5,木,,
공,功,5,木,,
백,白,5,水,,
빙,氷,5,水,,
사,史,5,金,,
석,石,5,金,,
소,召,5,金,,
신,申,5,金,,
옥,玉,5,土,,
전,田,5,金,,
점,占,5,金,,
좌,左,5,金,,
태,台,5,火,,
평,平,5,水,,
포,包,5,水,,
피,皮,5,水,,
현,玄,5,土,,
홍,弘,5,土,,
을지,乙支,5,土,,
광,光,6,木,,
곡,曲,6,木,,
규,圭,6,木,,
길,吉,6,木,,
노,老,6,火,,
모,牟,6,水,,
미,米,6,水,,
박,朴,6,水,,
백,白,6,水,,
서,西,6,金,,
선,先,6,金,,
안,安,6,土,,
이,伊,6,土,,
인 ,印 ,6,土,,
임,任,6,土,,
재,在,6,金,,
전,全,6,金,,
주,朱,6,金,,
강,江,7,木,,
군,君,7,木,,
두,杜,7,火,,
려,呂,7,火,,
리,李,7,火,,
보,甫,7,水,,
성,成,7,金,,
송,宋,7,金,,
신,辛,7,金,,
양,良,7,土,,
여,汝,7,土,,
여,余,7,土,,
여,呂,7,土,,
연,延,7,土,,
오,吳,7,土,,
위,位,7,土,,
이,李,7,土,,
좌,佐,7,金,,
정,廷,7,金,,
지,池,7,金,,
차,車,7,金,,
초,初,7,金,,
판,判,7,水,,
하,何,7,土,,
효,孝,7,土,,
경,京,8,木,,
경,庚,8,木,,
계,季,8,木,,
김,金,8,木,,
공,空,8,木,,
구,具,8,木,,
내,奈,8,火,,
맹,孟,8,水,,
명,明,8,水,,
문,門,8,水,,
방,房,8,水,,
봉,奉,8,水,,
사,舍,8,金,,
상,尙,8,金,,
석,昔,8,金,,
송,松,8,金,,
승,昇,8,金,,
승,承,8,金,,
심,沈,8,金,,
악,岳,8,土,,
야,夜,8,土,,
임,林,8,土,,
림,林,8,火,,
장,長,8,金,,
종,宗,8,金,,
주,周,8,金,,
지,知,8,金,,
